%,ADP,Data,File:,ELK2204251124.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,25/04/2022,11:24:27,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-04-25,11:24:27,1.2,1.2,0.8,0.8,36.812025,-121.782225,5.93,5.89,6.08,5.97,0,0.23,46.4,0.58,268.2,0.01,0.6,7,2.69,2.7
2,2022-04-25,11:24:32,2.2,2.2,1.6,1.5,36.81203333,-121.782225,5.85,5.88,6.11,5.95,0,0.21,48.3,0.63,269.9,0.01,0.4,7,2.57,5.3
3,2022-04-25,11:24:37,3,3,2.4,1.8,36.81204,-121.78222,5.77,5.78,6.16,5.9,0,0.16,68.3,0.52,256.3,0.01,0.6,7,0.36,5.6
4,2022-04-25,11:24:42,3.6,3.6,3,2,36.81204167,-121.7822133,5.67,5.74,6.08,5.83,0,0.12,71.3,0.54,256.5,0.01,0.4,7,0.18,5.8
5,2022-04-25,11:24:47,4.4,4.3,3.8,2.1,36.81204667,-121.782205,5.68,5.67,6.07,5.81,0,0.16,82.4,0.59,259.9,0.01,0.4,7,-0.12,5.7
6,2022-04-25,11:24:52,5.5,5.3,4.8,2.4,36.81205167,-121.7821967,5.69,5.55,5.9,5.71,0,0.21,74.4,0.56,259.6,0.01,0.4,7,0.3,6
7,2022-04-25,11:24:57,6.6,6.3,5.9,2.4,36.812055,-121.78219,5.77,5.38,5.86,5.67,0,0.22,89.5,0.55,262.5,0.01,0.4,6,-0.42,5.6
8,2022-04-25,11:25:02,7.3,6.6,6.3,1.9,36.81205167,-121.7821833,5.73,5.33,5.85,5.64,0,0.13,142.1,0.63,245.3,0.01,0.6,6,-2.27,3.3
9,2022-04-25,11:25:07,8.4,6.6,6.6,0.8,36.81203833,-121.78218,5.75,5.32,5.91,5.66,0,0.22,165,0.57,237,0.01,0.7,6,-3.36,-0.1
10,2022-04-25,11:25:12,10.5,8.1,8.1,-0.7,36.812025,-121.7821617,5.79,5.39,5.89,5.69,0,0.43,133.9,0.53,213,0.01,0.5,6,-6.42,-6.5
11,2022-04-25,11:25:17,13.7,11,10.7,-2.5,36.81200333,-121.782145,5.75,5.49,5.93,5.72,0,0.63,124.9,0.58,197.8,0.01,0.5,7,-10.04,-16.5
12,2022-04-25,11:25:22,17.6,14.8,14.1,-4.5,36.81197167,-121.7821467,5.62,5.48,5.97,5.69,0,0.79,121.3,0.58,178.6,0.01,0.4,7,-10.94,-27.5
13,2022-04-25,11:25:27,21.6,18.6,17.3,-6.8,36.81192667,-121.7821433,5.72,5.21,6.35,5.76,0,0.79,124.7,0.65,188.6,0.01,0.6,6,-13.29,-40.8
14,2022-04-25,11:25:32,25.6,22.5,20.5,-9.2,36.8119,-121.7821517,5.89,5.45,6.31,5.88,0,0.8,126.4,0.56,198,0.01,0.6,7,-12.52,-53.3
15,2022-04-25,11:25:37,29.5,26.4,23.9,-11.3,36.81186333,-121.7821467,5.93,5.57,6.37,5.96,0,0.8,122.5,0.52,190.1,0.01,0.5,7,-11.55,-64.8
16,2022-04-25,11:25:42,33.8,30.7,27.6,-13.4,36.81182167,-121.7821433,5.81,5.66,6.25,5.91,0,0.85,118.9,0.56,193.7,0.01,0.6,7,-13.51,-78.3
17,2022-04-25,11:25:47,37.4,34.2,30.6,-15.3,36.81179333,-121.7821467,5.6,5.56,6.07,5.74,0,0.71,122.9,0.5,202.4,0.01,0.7,7,-10.01,-88.3
18,2022-04-25,11:25:52,40.3,37.1,32.9,-17.2,36.81176667,-121.7821433,5.37,5.46,5.83,5.55,0,0.59,130.5,0.49,197.8,0.01,0.6,6,-7.35,-95.7
19,2022-04-25,11:25:57,42.8,39.5,34.8,-18.8,36.81174167,-121.7821483,5.07,5.27,5.56,5.3,0,0.49,129.2,0.34,195.1,0.01,0.7,6,-4.07,-99.8
20,2022-04-25,11:26:02,45.2,41.9,36.7,-20.2,36.81172,-121.7821467,5.06,5.02,5.55,5.21,0,0.48,126.9,0.3,186.3,0.01,0.5,6,-3.24,-103
21,2022-04-25,11:26:07,47.8,44.5,39.1,-21.4,36.81169167,-121.7821417,4.99,4.77,5.55,5.1,0,0.53,116.1,0.23,171.7,0.01,0.8,5,-2.54,-105.5
22,2022-04-25,11:26:12,51.1,47.8,42.3,-22.3,36.81166833,-121.7821333,4.91,4.75,5.39,5.02,0,0.66,105.8,0.1,165,0.01,0.6,5,-1.45,-107
23,2022-04-25,11:26:17,54,50.6,44.9,-23.3,36.81164333,-121.7821267,4.72,4.6,5.19,4.84,0,0.57,110.5,0.13,199.9,0.01,0.6,5,-1.79,-108.8
24,2022-04-25,11:26:22,56.5,53.1,47.2,-24.2,36.81161833,-121.7821183,4.38,4.47,4.96,4.6,0,0.5,112.8,0.16,190.2,0.01,0.6,5,-1.75,-110.5
25,2022-04-25,11:26:27,58.6,55.2,49.2,-25,36.81160167,-121.7821167,4.21,4.39,4.16,4.25,0,0.43,112.1,0.24,212.7,0.01,0.6,5,-2.11,-112.6
26,2022-04-25,11:26:32,61.2,57.8,51.7,-25.7,36.81158167,-121.7821083,3.98,4.06,4.32,4.12,0,0.52,104.1,0.12,216,0.01,0.7,4,-1.24,-113.9
27,2022-04-25,11:26:37,64.5,60.9,55,-26.1,36.81155667,-121.7820933,3.88,3.81,4.1,3.93,0,0.65,97.9,0.14,205.1,0.01,0.9,4,-1.71,-115.6
28,2022-04-25,11:26:42,67.7,63.9,58.2,-26.4,36.81153,-121.7820717,3.72,3.69,3.85,3.75,0,0.65,95.5,0.1,184.4,0.02,1,4,-1.25,-116.8
29,2022-04-25,11:26:47,71.9,68,62.4,-27,36.81150167,-121.7820433,3.57,2.56,3.67,3.27,0,0.84,98.2,0.2,193.5,0.02,1.3,2,-2.73,-119.6
30,2022-04-25,11:26:52,75.6,71.6,65.9,-27.9,36.811475,-121.78202,2.28,2.78,3.61,2.89,0,0.73,103.6,0.18,221.6,0.03,1.7,2,-1.71,-121.3
31,2022-04-25,11:26:57,79.5,75.3,69.7,-28.5,36.81144333,-121.7819933,3.48,3.16,3.55,3.4,0,0.78,98.5,0.25,229.2,0.02,1.4,3,-2.49,-123.8
32,2022-04-25,11:27:02,82.9,78.7,73.1,-29.2,36.81142,-121.78198,3.67,3.23,3.61,3.5,0,0.69,102.8,0.28,229.9,0.02,1.2,3,-2.67,-126.4
33,2022-04-25,11:27:07,86.4,82.2,76.4,-30.3,36.81139333,-121.7819583,3.54,3.36,3.76,3.55,0,0.69,107.2,0.36,218.7,0.02,1.1,3,-4.07,-130.5
34,2022-04-25,11:27:12,89.6,85.4,79.4,-31.3,36.81136667,-121.7819383,3.41,3.31,3.62,3.45,0,0.64,109.5,0.43,218.1,0.03,1.7,3,-4.55,-135.1
35,2022-04-25,11:27:17,92.7,88.6,82.4,-32.4,36.81134167,-121.7819167,3.38,3.87,3.4,3.55,0,0.63,109.8,0.43,213.8,0.03,1.3,3,-4.66,-139.7
36,2022-04-25,11:27:22,96,91.8,85.5,-33.4,36.81131167,-121.7818983,3.41,3.15,3.42,3.33,0,0.64,108.6,0.41,214.6,0.02,1.4,3,-4.19,-143.9
37,2022-04-25,11:27:27,98.7,94.5,87.9,-34.5,36.811295,-121.7818867,3.57,3.22,3.43,3.41,0,0.54,114.2,0.56,223.3,0.02,1.2,3,-4.92,-148.8
38,2022-04-25,11:27:32,100,95.7,88.9,-35.4,36.81128,-121.7818717,3.64,3.33,3.5,3.49,0,0.26,130.7,0.45,246.8,0.02,1,3,-1.81,-150.6
39,2022-04-25,11:27:37,101.4,97.1,90.3,-35.6,36.811275,-121.781855,3.63,3.39,3.51,3.51,0,0.28,97.6,0.31,285.7,0.02,1,3,0.22,-150.4
40,2022-04-25,11:27:42,102.9,98.1,91.7,-34.8,36.81128,-121.7818383,3.55,3.36,3.62,3.51,0,0.31,61.9,0.34,299,0.02,1.3,3,1.58,-148.8
41,2022-04-25,11:27:47,104.9,99.1,93.2,-33.6,36.81129667,-121.7818267,3.54,3.34,3.55,3.48,0,0.38,51.5,0.52,307.4,0.02,1,3,3.37,-145.5
42,2022-04-25,11:27:52,107.8,101,95.8,-32.2,36.81132167,-121.7818183,3.38,3.31,3.51,3.4,0,0.59,61.3,0.31,315.2,0.02,1.3,3,2.96,-142.5
43,2022-04-25,11:27:57,110.8,103.2,98.5,-30.9,36.811345,-121.7818117,3.15,2.98,3.16,3.1,0,0.61,64.2,0.35,317.2,0.02,1,3,3.18,-139.3
44,2022-04-25,11:28:02,113,104.9,100.5,-30,36.81136833,-121.7817983,3.16,2.86,3.01,3.01,0,0.43,65.9,0.55,282.3,0.02,1.4,3,2.11,-137.2
45,2022-04-25,11:28:07,114.7,106.3,102.1,-29.6,36.811375,-121.7817833,3.2,2.83,3.06,3.03,0,0.33,74.8,0.52,249.4,0.02,1.2,3,-0.24,-137.5
46,2022-04-25,11:28:12,115.7,107.3,103.1,-29.8,36.81137,-121.781775,3.16,2.91,3.14,3.07,0,0.21,104.6,0.47,234.6,0.02,0.8,3,-1.15,-138.6
47,2022-04-25,11:28:17,116,107.5,103.3,-29.6,36.81136,-121.7817733,3.23,2.96,3.1,3.1,0,0.07,53,0.41,282.5,0.03,1.5,3,0.32,-138.3
48,2022-04-25,11:28:22,116.7,107.4,103.5,-29,36.81136,-121.78177,2.94,2.97,3.2,3.04,0,0.14,9.7,0.47,306.5,0.02,0.9,3,0.87,-137.4
49,2022-04-25,11:28:27,118.8,108.5,104.9,-27.4,36.811375,-121.78178,3.04,2.92,3.04,3,0,0.43,43.3,0.48,338.4,0.02,1.3,3,2.76,-134.7
50,2022-04-25,11:28:32,121.9,110.3,107.3,-25.5,36.81139333,-121.7817883,2.8,2.83,2.92,2.85,0,0.6,50.7,0.44,341.9,0.01,0.8,3,3.57,-131.1
51,2022-04-25,11:28:37,125.3,112.4,110,-23.3,36.81142,-121.7817917,2.83,2.75,2.88,2.82,0,0.7,51.2,0.38,354.2,0.03,1.7,2,3.13,-128
52,2022-04-25,11:28:42,128.2,114.6,112.5,-22,36.811445,-121.7818067,2.73,2.58,2.65,2.65,0,0.57,62.1,0.39,323.2,0.03,1.7,2,2.97,-125
53,2022-04-25,11:28:47,130.5,116.2,114.3,-20.6,36.81146667,-121.7818217,2.78,2.63,2.67,2.69,0,0.45,53.8,0.41,341.1,0.04,1.9,2,2.38,-122.6
54,2022-04-25,11:28:52,132.4,117.6,116,-19.5,36.81148333,-121.78184,2.69,2.84,2.73,2.75,0,0.39,55,0.3,17.3,0.03,1.6,2,1,-121.6
55,2022-04-25,11:28:57,133.7,118.3,116.8,-18.6,36.81149,-121.7818467,2.84,2.78,2.78,2.8,0,0.24,43.3,0.31,336.3,0.02,1.1,3,0.97,-120.6
56,2022-04-25,11:29:02,135.3,119.4,118.1,-17.6,36.8115,-121.7818567,2.85,2.73,2.77,2.78,0,0.34,51.3,0.3,350.9,0.04,2.3,2,1.23,-119.4
57,2022-04-25,11:29:07,137.4,121,119.9,-16.6,36.81151833,-121.7818617,2.98,2.67,2.82,2.82,0,0.41,59.7,0.32,335.9,0.04,2.5,2,1.82,-117.6
58,2022-04-25,11:29:12,140,123.3,122.3,-15.8,36.81154333,-121.78187,2.92,2.8,2.89,2.87,0,0.52,72.7,0.21,348.7,0.02,1.4,3,1.57,-116
59,2022-04-25,11:29:17,142.6,125.6,124.8,-14.7,36.81156667,-121.78188,2.95,2.69,2.81,2.82,0,0.53,66.9,0.3,356,0.03,1.5,2,2.1,-113.9
60,2022-04-25,11:29:22,144.9,127.5,126.8,-13.7,36.811585,-121.7818917,3.02,2.86,2.92,2.93,0,0.45,63.3,0.27,5.2,0.02,1,3,1.5,-112.4
61,2022-04-25,11:29:27,147.1,129.3,128.7,-12.7,36.81159667,-121.7819,3.11,2.97,2.87,2.98,0,0.44,61.6,0.42,20.5,0.03,1.3,3,1.83,-110.6
62,2022-04-25,11:29:32,148.3,130.2,129.6,-11.9,36.81160833,-121.7819083,3.11,2.96,2.96,3.01,0,0.24,50.1,0.26,322.5,0.02,1.2,3,0.94,-109.6
63,2022-04-25,11:29:37,150.1,131.8,131.3,-11.1,36.81162167,-121.7819133,3.22,2.94,2.97,3.04,0,0.37,62.5,0.24,331.9,0.02,1.1,3,1.34,-108.3
64,2022-04-25,11:29:42,152.9,134.3,133.9,-10.3,36.81164167,-121.78192,3.41,3.17,3.16,3.25,0,0.55,73.1,0.23,331,0.02,1,3,2.03,-106.3
65,2022-04-25,11:29:47,155.1,136.5,136.1,-9.8,36.81166833,-121.781925,3.12,3.48,3.22,3.27,0,0.44,78.6,0.25,327.9,0.01,0.8,3,1.7,-104.6
66,2022-04-25,11:29:52,156.8,138.1,137.7,-9.3,36.81168667,-121.7819283,3.81,3.65,3.46,3.64,0,0.34,73,0.17,343.1,0.02,0.8,4,1.09,-103.5
67,2022-04-25,11:29:57,158.5,139.5,139.3,-8.6,36.81170667,-121.7819317,3.87,3.61,3.59,3.69,0,0.33,65.6,0.26,348.3,0.02,1,4,1.56,-101.9
68,2022-04-25,11:30:02,161,141.5,141.3,-7.2,36.81172333,-121.7819367,3.92,3.55,3.72,3.73,0,0.5,55.1,0.29,337.9,0.02,0.9,4,2.65,-99.3
