%,ADP,Data,File:,ELK2204251135.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,25/04/2022,11:35:02,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-04-25,11:35:02,3.7,3.7,3.3,-1.5,36.81219,-121.7820967,4.82,4.07,4.43,4.44,0,0.73,114.2,0.57,178.6,0.01,0.7,4,-8.39,-8.4
2,2022-04-25,11:35:07,7.6,7.6,6.6,-3.6,36.81215167,-121.7820783,5,4.56,4.75,4.77,0,0.79,122.7,0.67,201.3,0.01,0.7,5,-12.22,-20.6
3,2022-04-25,11:35:12,11.8,11.7,10.3,-5.7,36.81210667,-121.78207,5.14,4.79,5.07,5,0,0.84,119.9,0.53,187.6,0.01,0.5,6,-10.21,-30.8
4,2022-04-25,11:35:17,15.5,15.4,13.1,-8.1,36.81208,-121.7820767,5.36,4.87,5.24,5.16,0,0.74,129.9,0.56,179.5,0.01,0.6,6,-8.06,-38.9
5,2022-04-25,11:35:22,18.8,18.6,15.2,-10.6,36.81204667,-121.78209,5.4,5.13,5.35,5.29,0,0.67,140.1,0.62,188.8,0.01,0.6,6,-8.22,-47.1
6,2022-04-25,11:35:27,22,21.5,16.8,-13.4,36.81201,-121.78211,5.48,5.24,5.49,5.4,0,0.63,149.9,0.55,174.6,0.02,1,6,-3.97,-51.1
7,2022-04-25,11:35:32,24.9,24.2,18,-16.1,36.81198833,-121.7821017,5.62,5.35,5.49,5.49,0,0.59,155.7,0.6,185.7,0.02,0.9,6,-4.86,-55.9
8,2022-04-25,11:35:37,27.7,26.6,19,-18.7,36.81195667,-121.7821217,5.58,5.38,5.43,5.46,0,0.55,160.7,0.59,194.6,0.01,0.6,6,-5.01,-60.9
9,2022-04-25,11:35:42,30.5,29,19.4,-21.5,36.811935,-121.782125,5.51,5.41,5.41,5.44,0,0.57,170.5,0.58,200.8,0.01,0.8,6,-4.53,-65.5
10,2022-04-25,11:35:47,33.4,31.6,20.4,-24.2,36.81191167,-121.7821333,5.57,5.28,5.58,5.48,0,0.57,161,0.57,198.2,0.01,0.6,6,-5.42,-70.9
11,2022-04-25,11:35:52,36.3,34.5,21.7,-26.8,36.81188667,-121.782145,5.69,5.29,5.82,5.6,0,0.58,152.6,0.71,197.9,0.02,0.9,6,-8.21,-79.1
12,2022-04-25,11:35:57,38.9,36.9,22.7,-29.2,36.811865,-121.78216,5.79,5.4,6.1,5.76,0,0.52,158,0.64,197.3,0.01,0.6,6,-6.03,-85.1
13,2022-04-25,11:36:02,41.4,39.4,23.7,-31.5,36.81184,-121.782175,5.89,5.56,6.38,5.94,0,0.5,155.7,0.53,186,0.01,0.8,7,-3.93,-89.1
14,2022-04-25,11:36:07,43.7,41.6,24.5,-33.6,36.81182167,-121.7821783,5.91,5.8,6.36,6.02,0,0.47,159.1,0.57,209.1,0.01,0.6,7,-6.19,-95.2
15,2022-04-25,11:36:12,45.9,43.7,25.2,-35.7,36.81180333,-121.7821867,5.9,5.87,6.33,6.03,0,0.44,160.7,0.51,207.1,0.01,0.6,7,-4.84,-100.1
16,2022-04-25,11:36:17,48.1,45.9,26.5,-37.4,36.81178,-121.7821917,5.87,5.91,6.39,6.06,0,0.43,143.9,0.47,193.7,0.01,0.5,7,-4.71,-104.8
17,2022-04-25,11:36:22,50.5,48.3,28.4,-39.1,36.81176167,-121.78219,5.8,5.89,6.18,5.96,0,0.5,130.6,0.48,209.3,0.01,0.6,7,-6.89,-111.7
18,2022-04-25,11:36:27,53.5,50.9,31,-40.4,36.81173833,-121.7821817,5.46,5.69,5.87,5.67,0,0.58,118,0.39,207.9,0.01,0.5,7,-6.44,-118.1
19,2022-04-25,11:36:32,56.6,53.7,33.9,-41.6,36.81171333,-121.782165,5.04,5.46,5.55,5.35,0,0.64,112.5,0.39,208.5,0.01,0.6,6,-6.6,-124.7
20,2022-04-25,11:36:37,59.7,56.3,36.8,-42.7,36.81169167,-121.7821517,4.92,5.03,5.28,5.08,0,0.61,110.7,0.3,200.3,0.01,0.5,6,-4.6,-129.3
21,2022-04-25,11:36:42,62.2,58.6,39.1,-43.6,36.81167333,-121.7821383,4.74,4.7,5.12,4.85,0,0.5,111.3,0.13,207.1,0.01,0.9,5,-1.55,-130.9
22,2022-04-25,11:36:47,64.9,60.9,41.7,-44.4,36.811655,-121.7821233,4.56,4.6,4.96,4.71,0,0.55,106.6,0.18,188.8,0.01,0.6,5,-2.23,-133.1
23,2022-04-25,11:36:52,67.8,63.3,44.5,-45,36.81163333,-121.782105,4.34,4.34,4.76,4.48,0,0.58,101.7,0.11,189,0.01,0.5,5,-1.44,-134.5
24,2022-04-25,11:36:57,70.3,65.4,46.9,-45.6,36.811615,-121.7820883,4.32,4.14,4.47,4.31,0,0.5,103.8,0.16,230.4,0.02,0.9,5,-1.34,-135.9
25,2022-04-25,11:37:02,72.6,67.2,49.2,-45.8,36.8116,-121.782075,4.08,4.12,4.3,4.17,0,0.46,95.4,0.13,207.5,0.01,0.7,4,-1.16,-137
26,2022-04-25,11:37:07,75.5,69.5,52.1,-45.9,36.81158167,-121.7820567,3.83,3.91,3.96,3.9,0,0.57,92.7,0.17,219.3,0.02,1,4,-1.52,-138.6
27,2022-04-25,11:37:12,79.1,72.4,55.7,-46.2,36.81156167,-121.7820383,3.5,3.69,3.79,3.66,0,0.72,94,0.2,193.6,0.01,0.8,4,-2.65,-141.2
28,2022-04-25,11:37:17,81.8,74.7,58.4,-46.6,36.81154167,-121.7820233,3.38,3.3,3.69,3.46,0,0.54,99.6,0.26,198.9,0.02,1.2,3,-2.41,-143.6
29,2022-04-25,11:37:22,83.6,76.2,60.2,-46.7,36.811525,-121.7820133,3.33,3.16,3.48,3.32,0,0.38,92.6,0.1,216,0.02,1.3,3,-0.53,-144.1
30,2022-04-25,11:37:27,86.8,79,63.4,-47.1,36.81150333,-121.7819983,3.12,3.04,3.34,3.17,0,0.63,96.7,0.26,172,0.02,0.9,3,-2.53,-146.7
31,2022-04-25,11:37:32,89.9,81.6,66.4,-47.5,36.811475,-121.7819733,2.92,2.86,3.07,2.95,0,0.61,97.8,0.14,228.6,0.03,1.9,3,-0.98,-147.7
32,2022-04-25,11:37:37,93.1,84.6,69.6,-48,36.811455,-121.781955,3.1,2.8,3.11,3,0,0.65,98.9,0.32,221.6,0.02,1.2,3,-2.66,-150.3
33,2022-04-25,11:37:42,97.5,88.4,74,-48.5,36.81143,-121.7819283,3.08,2.92,3.19,3.06,0,0.88,96,0.21,171.8,0.02,1.2,3,-2.68,-153
34,2022-04-25,11:37:47,100.9,91.5,77.4,-49,36.811405,-121.7819083,3.01,2.89,3.09,3,0,0.68,98.6,0.28,216.7,0.02,1.2,3,-2.49,-155.5
35,2022-04-25,11:37:52,103.7,94.2,80,-49.7,36.811385,-121.7818933,3,2.78,3.27,3.02,0,0.56,105.9,0.31,206.9,0.02,1,3,-2.59,-158.1
36,2022-04-25,11:37:57,106.5,96.9,82.7,-50.5,36.81136333,-121.78188,2.95,2.75,3.12,2.94,0,0.55,106.7,0.42,219.6,0.03,1.5,2,-3.13,-161.2
37,2022-04-25,11:38:02,109.4,99.8,85.4,-51.7,36.81134167,-121.7818683,3.16,2.79,3.13,3.03,0,0.59,113,0.33,208.9,0.03,1.6,3,-2.95,-164.1
38,2022-04-25,11:38:07,112.2,102.5,88,-52.6,36.81131833,-121.78185,3.29,2.91,3.26,3.15,0,0.55,108.6,0.3,213.6,0.03,1.4,3,-2.5,-166.6
39,2022-04-25,11:38:12,115.3,105.6,90.9,-53.8,36.81129167,-121.7818283,3.47,3.13,3.41,3.34,0,0.62,113.8,0.47,229.2,0.02,1,3,-4.4,-171
40,2022-04-25,11:38:17,118.2,108.4,93.6,-54.7,36.81127333,-121.781815,3.66,3.32,3.38,3.45,0,0.59,108,0.35,221.3,0.03,1.6,3,-3.26,-174.3
41,2022-04-25,11:38:22,120.8,111.1,96,-55.9,36.81125,-121.7817983,3.66,3.49,3.53,3.56,0,0.53,115.9,0.46,225.6,0.02,0.8,4,-4.08,-178.4
42,2022-04-25,11:38:27,123.4,113.6,98.4,-56.8,36.81122667,-121.7817767,3.68,3.45,3.57,3.57,0,0.52,111.4,0.46,229.2,0.02,1,4,-3.76,-182.1
43,2022-04-25,11:38:32,125.7,115.9,100.5,-57.8,36.81121167,-121.7817633,3.57,3.5,3.59,3.55,0,0.46,116.6,0.54,227.8,0.01,0.7,4,-4.13,-186.3
