%,ADP,Data,File:,ELK2205021227.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,12:27:43,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,12:27:43,2,2,2,0,36.81089,-121.7842433,4,6.31,3.55,4.62,0,0.4,89.6,0.04,173.4,0.01,0.7,6,-0.34,-0.3
2,2022-05-02,12:27:48,4.2,4.2,4.2,-0.1,36.81089,-121.78427,3.32,5.23,2.81,3.79,0,0.44,92.7,0.05,199.2,0.02,1.1,4,-0.36,-0.7
3,2022-05-02,12:27:53,6.5,6.5,6.5,0.1,36.81088833,-121.7843,2.55,4.28,2.21,3.01,0,0.46,85.5,0.12,246.6,0.04,2.4,3,-0.26,-1
4,2022-05-02,12:27:58,8.8,8.8,8.7,0.7,36.81088167,-121.7843283,1.99,3.6,1.74,2.44,0,0.46,75.2,0.17,234.1,0.05,3,2,-0.34,-1.3
5,2022-05-02,12:28:03,10.5,10.1,9.9,2,36.81087833,-121.7843483,2.11,4.03,1.65,2.6,0,0.35,42.4,0.12,302.7,0.04,2,2,0.54,-0.8
6,2022-05-02,12:28:08,13.2,12.7,12.4,2.8,36.81086167,-121.784355,5.18,5.17,2.36,4.24,0,0.53,70.9,0.06,288.2,0.04,2.1,3,0.43,-0.3
7,2022-05-02,12:28:13,16,15.5,15,3.9,36.81084167,-121.7843633,7.59,7.05,3.5,6.05,0,0.56,67.8,0.05,304.1,0.01,0.6,6,0.67,0.4
8,2022-05-02,12:28:18,18.3,17.7,17,5,36.81082333,-121.784365,9.83,8.86,4.61,7.77,0,0.46,62.3,0.11,267.9,0.01,0.4,8,0.84,1.2
9,2022-05-02,12:28:23,20.2,19.6,18.8,5.6,36.810805,-121.7843667,10.59,10.07,5.78,8.81,0,0.38,69.2,0.1,241.6,0.01,0.4,11,-0.21,1
10,2022-05-02,12:28:28,21.6,20.7,19.5,6.8,36.81079333,-121.7843633,10.64,10.15,6.27,9.02,0,0.27,33.5,0.14,279.8,0.01,0.4,12,1.57,2.5
11,2022-05-02,12:28:33,22.6,21.3,19.9,7.8,36.81078667,-121.78436,10.87,10.32,6.84,9.34,0,0.21,17,0.23,309.8,0.01,0.4,13,2.06,4.6
12,2022-05-02,12:28:38,0,22,20.2,8.8,36.81078333,-121.7843533,10.87,10.32,6.84,9.34,0,0,0,0.19,308.1,0,100,13,1.74,6.3
13,2022-05-02,12:28:43,24.6,22.6,20.4,9.7,36.81077833,-121.78435,11.43,10.32,7.8,9.85,0,0.2,11.6,0.2,315.9,0.01,0.3,16,1.65,8
14,2022-05-02,12:28:48,26.5,24.4,22,10.6,36.81076333,-121.7843533,11.72,10.41,8.36,10.16,0,0.37,62.7,0.15,278.1,0.01,0.3,17,1.61,9.6
15,2022-05-02,12:28:53,28.7,26.7,24,11.7,36.810745,-121.784355,11.81,10.49,9.14,10.48,0,0.45,60.6,0.17,277.8,0,0.2,19,2.39,12
16,2022-05-02,12:28:58,30.9,28.9,26,12.6,36.810725,-121.7843583,11.87,10.57,9.41,10.62,0,0.44,64.6,0.18,278.4,0,0.2,19,2.39,14.4
17,2022-05-02,12:29:03,33.6,31.5,28.4,13.7,36.81070167,-121.78436,11.78,10.59,9.83,10.73,0,0.52,66.4,0.26,289.9,0,0.2,20,4.95,19.3
18,2022-05-02,12:29:08,35.5,33.4,30,14.7,36.81068167,-121.7843633,11.75,10.54,9.88,10.72,0,0.39,59.3,0.24,293.6,0,0.2,20,3.99,23.3
19,2022-05-02,12:29:13,37,34.9,31.2,15.6,36.81066833,-121.784365,11.75,10.38,10.09,10.74,0,0.3,49,0.28,287.7,0,0.2,21,3.9,27.2
20,2022-05-02,12:29:18,38.4,36.2,32.1,16.8,36.81065833,-121.7843667,11.78,10.53,10.13,10.81,0,0.29,38,0.29,299.2,0,0.2,21,4.52,31.7
21,2022-05-02,12:29:23,39.9,37.4,32.7,18,36.81064667,-121.7843567,11.67,10.5,10.09,10.75,0,0.28,28.5,0.25,300.9,0,0.2,21,3.74,35.5
22,2022-05-02,12:29:28,41.4,38.7,33.5,19.4,36.81063167,-121.7843433,11.6,10.47,9.91,10.66,0,0.31,28.9,0.23,310.4,0,0.2,20,3.82,39.3
23,2022-05-02,12:29:33,43.6,40.8,35,21,36.81061667,-121.7843367,11.51,10.23,9.89,10.54,0,0.44,44.7,0.21,295.1,0,0.2,20,4.56,43.9
24,2022-05-02,12:29:38,46.2,43.4,37.2,22.4,36.81059333,-121.7843283,11.48,10.33,10.06,10.62,0,0.52,55.9,0.25,319.9,0,0.2,21,6.88,50.7
25,2022-05-02,12:29:43,48.4,45.5,38.8,23.9,36.81057167,-121.78432,11.4,10.12,9.88,10.47,0,0.43,46.2,0.33,290.4,0,0.3,20,6.76,57.5
26,2022-05-02,12:29:48,50,47.1,39.9,25.1,36.81055667,-121.7843117,11.32,10.08,9.72,10.37,0,0.33,42.3,0.25,292.4,0,0.2,20,4.07,61.6
27,2022-05-02,12:29:53,51.5,48.4,40.6,26.4,36.81054167,-121.7843033,11.23,9.68,9.91,10.27,0,0.3,28.3,0.24,308.1,0.01,0.3,20,3.55,65.1
28,2022-05-02,12:29:58,52.6,49.4,41.1,27.4,36.81053333,-121.7842967,11.04,9.45,10.04,10.18,0,0.22,27.3,0.09,312.6,0.01,0.3,19,0.95,66.1
29,2022-05-02,12:30:03,53.8,50.1,41.2,28.6,36.81052333,-121.7842883,10.98,9.3,10.04,10.11,0,0.23,6.5,0.24,300.4,0,0.2,19,2.58,68.7
30,2022-05-02,12:30:08,55,50.5,40.9,29.7,36.81051833,-121.784275,10.02,9.43,10.37,9.94,0,0.24,343.4,0.27,320.9,0,0.3,19,1.22,69.9
31,2022-05-02,12:30:13,56,50.8,40.5,30.7,36.810515,-121.78426,9.62,9.57,10.3,9.83,0,0.22,338.5,0.29,298.2,0,0.2,20,1.98,71.9
32,2022-05-02,12:30:18,57.6,51.1,39.7,32.1,36.81051833,-121.78425,9.48,9.69,10.3,9.82,0,0.31,331.8,0.26,286.7,0,0.2,19,2.76,74.6
33,2022-05-02,12:30:23,59.3,51.2,38.7,33.5,36.81052167,-121.7842333,9.55,10.06,10.15,9.92,0,0.35,324.9,0.33,292.9,0,0.3,19,3.01,77.6
34,2022-05-02,12:30:28,60.9,51.3,37.7,34.8,36.81052333,-121.784215,9.38,10.09,9.89,9.79,0,0.32,321.9,0.33,288,0,0.2,19,2.94,80.6
