%,ADP,Data,File:,ELK2205021446.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,14:46:03,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,14:46:03,2.3,2.3,-2.3,0.4,36.81108667,-121.7808917,3.17,3.27,3.22,3.22,0,0.46,281,0.2,234.4,0.02,0.8,7,1.05,1.1
2,2022-05-02,14:46:09,3.6,3.6,-3.5,0.8,36.81109167,-121.7809167,3.16,3.4,3.22,3.26,0,0.25,286.2,0.16,254.1,0.02,0.9,7,0.34,1.4
3,2022-05-02,14:46:14,3.9,3.2,-3.1,0.7,36.81109167,-121.780915,3.16,3.35,3.2,3.24,0,0.08,106,0.21,304.6,0.02,0.8,7,0.08,1.5
4,2022-05-02,14:46:19,4.9,2.3,-2.3,0.1,36.81109,-121.7808967,3.21,3.33,3.2,3.25,0,0.19,126.1,0.14,312.9,0.01,0.8,7,0.05,1.5
5,2022-05-02,14:46:24,5.6,1.9,-1.8,-0.4,36.81109333,-121.7808833,3.26,3.25,3.2,3.24,0,0.15,139.3,0.2,346.8,0.02,0.9,7,0.22,1.7
6,2022-05-02,14:46:29,6,2,-1.8,-0.8,36.811095,-121.7808733,3.25,3.2,3.22,3.22,0,0.07,172.7,0.19,353.2,0.02,0.8,7,0,1.7
7,2022-05-02,14:46:34,6.7,2.4,-1.9,-1.5,36.81109667,-121.7808617,3.25,3.23,3.22,3.23,0,0.14,189.3,0.17,14.8,0.02,1.3,7,0.04,1.8
8,2022-05-02,14:46:39,7.8,3.1,-1.7,-2.5,36.8111,-121.780855,3.27,3.26,3.26,3.26,0,0.22,169.1,0.21,12.5,0.01,0.7,7,0.3,2.1
9,2022-05-02,14:46:44,9.2,3.9,-1,-3.8,36.81110833,-121.7808433,3.29,3.29,3.32,3.3,0,0.29,150.5,0.23,21,0.02,1,8,0.86,2.9
10,2022-05-02,14:46:49,10.6,4.7,0,-4.7,36.81111833,-121.780835,3.19,3.32,3.36,3.29,0,0.27,132.9,0.3,5,0.02,1,7,1.07,4
