%,ADP,Data,File:,ELK2204251152.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,25/04/2022,11:52:07,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-04-25,11:52:07,0.2,0.2,0.2,0.1,36.81118,-121.7814967,3.31,3.16,3.29,3.25,0,0.05,69.7,0.38,286.4,0.02,1.2,3,0.18,0.2
2,2022-04-25,11:52:12,1.7,1.7,1.3,1,36.81119333,-121.7815067,3.36,3.19,3.22,3.26,0,0.29,48.4,0.42,324.9,0.02,1.3,3,1.95,2.1
3,2022-04-25,11:52:17,3.1,3.1,2.4,2,36.81120667,-121.7815067,3.44,3.19,3.27,3.3,0,0.29,47.4,0.26,308.7,0.03,1.4,3,1.23,3.4
4,2022-04-25,11:52:22,4.5,4.3,2.8,3.3,36.81121833,-121.78151,3.41,3.17,3.32,3.3,0,0.27,20.7,0.37,322.8,0.02,1.3,3,1.39,4.7
5,2022-04-25,11:52:27,5.9,5.8,3.6,4.6,36.81122833,-121.781515,3.38,3.19,3.28,3.28,0,0.3,28.9,0.43,322.7,0.02,1.2,3,1.9,6.6
6,2022-04-25,11:52:32,7.7,7.5,4.4,6.1,36.81124167,-121.7815283,3.37,3.23,3.25,3.28,0,0.35,28.5,0.26,316.2,0.02,1.3,3,1.43,8.1
7,2022-04-25,11:52:37,9.5,9.3,5.2,7.7,36.81125333,-121.78154,3.36,3.23,3.22,3.27,0,0.36,25.5,0.29,317.7,0.04,2.3,3,1.59,9.7
8,2022-04-25,11:52:42,11.3,11.1,6.3,9.2,36.81127,-121.7815517,3.34,3.18,3.24,3.25,0,0.37,37,0.18,301.8,0.02,0.9,3,1.04,10.7
9,2022-04-25,11:52:47,12.5,12.2,6.8,10.2,36.81128,-121.78156,3.34,3.18,3.26,3.26,0,0.23,25.8,0.33,309.5,0.03,1.7,3,1.24,11.9
10,2022-04-25,11:52:52,13.5,13.3,7.5,11,36.81128833,-121.7815617,3.34,3.17,3.25,3.25,0,0.2,43,0.38,292.1,0.03,1.3,3,1.17,13.1
11,2022-04-25,11:52:57,14.9,14.6,8.6,11.8,36.811305,-121.7815533,3.36,3.2,3.25,3.27,0,0.28,52,0.31,307.7,0.03,1.5,3,1.37,14.5
12,2022-04-25,11:53:02,16.7,16.2,10.1,12.7,36.81131667,-121.7815483,3.41,3.22,3.25,3.29,0,0.36,60.5,0.33,298.7,0.02,1,3,1.66,16.1
13,2022-04-25,11:53:07,18.4,17.9,11.6,13.7,36.81133333,-121.7815367,3.36,3.21,3.28,3.28,0,0.35,57,0.29,298.3,0.03,1.4,3,1.48,17.6
14,2022-04-25,11:53:12,20.1,19.4,13.1,14.4,36.81135167,-121.7815267,3.34,3.24,3.28,3.29,0,0.33,65.6,0.22,289.1,0.02,1.4,3,0.82,18.4
15,2022-04-25,11:53:17,21.5,20.8,14.4,15,36.81136167,-121.7815217,3.28,3.17,3.3,3.25,0,0.28,63.6,0.25,313.4,0.02,1.3,3,1.08,19.5
16,2022-04-25,11:53:22,22.8,22,15.4,15.8,36.81137833,-121.7815183,3.16,3.19,3.25,3.2,0,0.25,52.2,0.4,301.5,0.03,1.3,3,1.51,21
17,2022-04-25,11:53:27,23.8,21.7,14.5,16.1,36.8114,-121.7815167,2.97,3.1,3.15,3.07,0,0.2,291.5,0.7,273.7,0.03,1.8,3,0.64,21.7
18,2022-04-25,11:53:32,24.8,22.7,15.1,16.9,36.81141333,-121.7815167,2.95,2.93,2.4,2.76,0,0.21,36.9,0.37,299.9,0.03,1.7,2,1.04,22.7
19,2022-04-25,11:53:37,26.3,24.1,15.7,18.3,36.81143333,-121.7815133,2.91,2.81,2.84,2.85,0,0.29,24.3,0.41,307.6,0.02,1.1,3,1.67,24.4
20,2022-04-25,11:53:42,27.6,25.4,16.8,19,36.811445,-121.7815067,2.74,2.78,2.8,2.77,0,0.26,55.8,0.39,283.6,0.03,1.5,2,1.04,25.4
21,2022-04-25,11:53:47,29.4,27.2,18.3,20,36.81145667,-121.7815083,2.69,2.78,2.88,2.78,0,0.37,56.7,0.13,322.1,0.03,1.7,2,0.67,26.1
22,2022-04-25,11:53:52,31.1,28.6,18.7,21.7,36.81147,-121.7815033,2.68,2.52,2.6,2.6,0,0.34,11,0.5,301.8,0.03,1.6,2,2.03,28.1
23,2022-04-25,11:53:57,32.1,29.6,19.5,22.3,36.81148333,-121.7815,2.66,2.42,2.52,2.53,0,0.21,54.3,0.21,272.4,0.05,2.4,2,0.33,28.4
24,2022-04-25,11:54:02,32.9,30.1,20.3,22.2,36.81149833,-121.7814967,2.44,2.24,2.64,2.44,0,0.15,93,0.23,244.3,0.03,1.7,2,-0.2,28.2
25,2022-04-25,11:54:07,34.3,31.3,20.5,23.6,36.81150667,-121.7814917,2.44,1.96,2.44,2.28,0,0.27,11.9,0.46,318.5,0.06,3.4,1,1.14,29.4
26,2022-04-25,11:54:12,36.2,33,22.3,24.3,36.81152,-121.7814817,2.49,2.18,2.25,2.31,0,0.38,67,0.15,348.9,0.04,2.1,2,0.64,30
27,2022-04-25,11:54:17,38,34.8,23.8,25.4,36.81153167,-121.7814767,2.43,2.45,2.43,2.44,0,0.37,55.1,0.22,0.4,0.05,3.2,2,0.82,30.8
28,2022-04-25,11:54:22,38.5,35.3,24,25.8,36.811535,-121.781475,2.35,2.47,2.38,2.4,0,0.11,24,0.31,314.3,0.04,2.2,2,0.37,31.2
29,2022-04-25,11:54:27,39.4,36.1,24.8,26.2,36.81153833,-121.781475,2.44,2.5,2.34,2.43,0,0.18,68.2,0.2,5.4,0.03,1.4,2,0.4,31.6
30,2022-04-25,11:54:32,39.7,36.2,25.1,26.1,36.81153833,-121.7814767,2.38,2.48,2.35,2.4,0,0.06,105.3,0.03,295.1,0.03,1.7,2,0,31.6
31,2022-04-25,11:54:37,40.5,36.9,25.8,26.4,36.81153833,-121.781485,2.37,2.46,2.42,2.42,0,0.15,65.7,0.13,40.7,0.03,1.5,2,0.1,31.7
32,2022-04-25,11:54:42,41.1,37.5,26.3,26.7,36.81154,-121.78149,2.42,2.42,2.43,2.42,0,0.12,66.5,0.32,2.3,0.05,3,2,0.41,32.1
33,2022-04-25,11:54:47,42.5,38.7,27.7,27,36.81154667,-121.7814983,2.47,2.41,2.16,2.35,0,0.29,74.9,0.4,13.8,0.05,2.7,2,1.17,33.3
34,2022-04-25,11:54:52,44.2,40.4,28.7,28.5,36.81155833,-121.7815033,2.4,2.28,2.33,2.34,0,0.35,32.9,0.5,336,0.02,1,2,1.69,35
35,2022-04-25,11:54:57,46,42.2,29.8,29.8,36.81157167,-121.7815067,2.21,2.05,2.42,2.23,0,0.35,41.6,0.47,339.4,0.04,2.1,1,1.61,36.6
36,2022-04-25,11:55:02,48.6,43.6,32.4,29.2,36.81157667,-121.78151,2.13,2.06,2.32,2.17,0,0.52,103,0.28,85.7,0.01,0.7,1,0.47,37.1
37,2022-04-25,11:55:07,50.4,42.9,30.7,29.9,36.81158667,-121.7815167,2.28,2,2.24,2.17,0,0.36,293.2,0.63,287.6,0.1,5.7,1,0.24,37.3
38,2022-04-25,11:55:12,52.3,44.7,32.2,31.1,36.8116,-121.7815217,2.21,2.2,2.2,2.2,0,0.38,51.6,0.34,8.7,0.02,1.2,2,0.97,38.3
39,2022-04-25,11:55:17,53.2,44.3,32.4,30.2,36.81161333,-121.7815217,2.16,2.16,2.2,2.17,0,0.18,166.2,0.34,248.5,0.03,1.5,2,-0.64,37.6
40,2022-04-25,11:55:22,54.1,45.1,33.2,30.6,36.81162333,-121.781525,2.19,2,2.2,2.13,0,0.18,67.2,0.3,332.9,0.09,5.1,1,0.55,38.2
41,2022-04-25,11:55:27,55.4,46.3,34.6,30.8,36.81163333,-121.781525,2.18,2.16,2.26,2.2,0,0.28,79.5,0.19,36.5,0.04,1.8,2,0.4,38.6
42,2022-04-25,11:55:32,57.3,47.5,36.4,30.6,36.81164,-121.7815283,2.15,2,2.26,2.14,0,0.37,98.1,0.2,54.1,0.04,2.1,1,0.56,39.1
43,2022-04-25,11:55:37,58.3,48.4,36.8,31.4,36.81164667,-121.7815317,2.03,1.89,2.15,2.02,0,0.19,21.3,0.42,359.6,0.05,2.8,1,0.3,39.4
44,2022-04-25,11:55:42,59,49.1,37.3,31.9,36.81165833,-121.78154,2.1,1.99,2.11,2.07,0,0.15,53.4,0.21,331.8,0.07,3.7,1,0.31,39.8
45,2022-04-25,11:55:47,61.5,51.1,39.9,32,36.81167,-121.7815517,1.92,2,2.12,2.01,0,0.5,86.5,0.39,63.1,0.16,9.3,1,0.78,40.5
46,2022-04-25,11:55:52,63.1,52,41.4,31.4,36.81168,-121.7815583,2.14,1.95,2.09,2.06,0,0.32,111.5,0.16,97.4,0.07,4.2,1,0.13,40.7
47,2022-04-25,11:55:57,65.9,53.8,44.1,30.9,36.81169167,-121.781565,2.01,2.04,2.09,2.05,0,0.55,101.9,0.35,80.6,0.04,1.8,1,0.73,41.4
48,2022-04-25,11:56:02,66.9,54.7,45.1,31,36.81170167,-121.78157,2.19,1.85,2.08,2.04,0,0.2,82.6,0.28,11.8,0.08,4.7,1,0.54,41.9
49,2022-04-25,11:56:07,68.8,56.2,47,30.8,36.81171333,-121.7815783,2.42,2.01,2.18,2.2,0,0.39,97.5,0.25,82.4,0.05,2.4,1,0.28,42.2
50,2022-04-25,11:56:12,70.5,57.7,48.7,30.9,36.81173,-121.78159,2,2.28,2.38,2.22,0,0.34,85.3,0.21,27,0.04,2.1,1,0.67,42.9
51,2022-04-25,11:56:17,72.1,58.9,50.2,30.7,36.81174,-121.7815967,2.05,2.19,1.99,2.08,0,0.31,95.6,0.2,356.7,0.12,7.2,1,0.63,43.5
