%,ADP,Data,File:,ELK2204251145.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,25/04/2022,11:45:12,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-04-25,11:45:12,1.3,1.3,1.2,-0.5,36.81219667,-121.7820917,4.1,3.78,4.22,4.03,0,0.27,114.1,0.42,237,0.01,0.7,4,-1.9,-1.9
2,2022-04-25,11:45:17,2.9,2.9,2.5,-1.5,36.81219167,-121.7820817,4.26,3.86,4.32,4.15,0,0.32,126.3,0.54,228.6,0.01,0.8,4,-3.52,-5.4
3,2022-04-25,11:45:22,4.6,4.5,3.4,-2.9,36.81218,-121.7820733,4.66,4,4.47,4.38,0,0.33,145.8,0.55,220.1,0.02,0.9,4,-3.81,-9.2
4,2022-04-25,11:45:27,6.4,6.2,4.2,-4.5,36.81216,-121.7820717,4.77,4.17,4.56,4.5,0,0.36,156.4,0.56,220.8,0.01,0.8,5,-4.14,-13.4
5,2022-04-25,11:45:32,8.2,7.9,4.8,-6.2,36.81214833,-121.7820667,4.85,4.38,4.69,4.64,0,0.36,158.6,0.55,224.3,0.01,0.7,5,-4.2,-17.6
6,2022-04-25,11:45:37,9.8,9.3,5,-7.8,36.81213333,-121.7820667,4.96,4.6,4.89,4.82,0,0.32,172,0.58,233.8,0.02,0.9,5,-3.94,-21.5
7,2022-04-25,11:45:42,11.5,10.9,5.6,-9.4,36.81211667,-121.7820667,5.03,4.65,4.95,4.88,0,0.33,161.5,0.55,221,0.01,0.7,5,-3.89,-25.4
8,2022-04-25,11:45:47,13.2,12.6,6.4,-10.9,36.81210167,-121.7820583,5.03,4.69,5.07,4.93,0,0.34,149.7,0.49,226.1,0.01,0.6,5,-3.99,-29.4
9,2022-04-25,11:45:52,15.1,14.5,7.6,-12.3,36.81208833,-121.7820467,5.04,4.83,5.14,5,0,0.38,140.7,0.56,227.3,0.01,0.5,6,-5.33,-34.7
10,2022-04-25,11:45:57,17.4,16.7,9.3,-13.9,36.81207333,-121.7820333,5.15,4.81,5.23,5.06,0,0.46,133.3,0.52,210.9,0.02,1,6,-5.91,-40.6
