%,ADP,Data,File:,ELK2205021146.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,11:46:25,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,11:46:25,1.6,1.6,-0.8,1.4,36.81242167,-121.7818017,4.03,3.85,3.31,3.73,0,0.32,331.3,0.32,323.1,0.02,1,5,0.27,0.3
2,2022-05-02,11:46:30,4.2,3.8,0.3,3.8,36.81241833,-121.7817833,4.27,3.79,3.6,3.89,0,0.51,23.9,0.4,5.8,0.01,0.8,6,1.23,1.5
3,2022-05-02,11:46:35,6.1,5.7,0.7,5.7,36.81241167,-121.7817733,4.54,3.88,3.55,3.99,0,0.39,12.4,0.15,320,0.01,0.6,6,0.9,2.4
4,2022-05-02,11:46:40,7.6,7.1,1.2,7,36.812405,-121.7817583,4.72,3.84,3.85,4.14,0,0.29,21.9,0.1,357.1,0.01,0.7,7,0.24,2.6
5,2022-05-02,11:46:45,9.5,9.1,1.3,9,36.8124,-121.781745,4.89,4.02,3.78,4.23,0,0.39,3.6,0.32,330.9,0.01,0.5,7,1.45,4.1
6,2022-05-02,11:46:50,10.8,10.3,1.6,10.2,36.812395,-121.7817283,5.05,4.58,3.87,4.5,0,0.25,10.2,0.13,307.9,0.01,0.8,7,0.68,4.8
7,2022-05-02,11:46:55,12.4,11.9,1.7,11.8,36.81239,-121.78171,5.2,4.8,3.88,4.63,0,0.32,4,0.21,333.8,0.01,0.4,7,0.77,5.5
8,2022-05-02,11:47:00,14,13.5,1.5,13.4,36.812385,-121.7816883,5.23,5.01,4.26,4.83,0,0.32,352.7,0.22,307.3,0.01,0.6,8,1.23,6.8
9,2022-05-02,11:47:05,15.7,15.2,1.5,15.1,36.81238333,-121.7816683,5.35,5.19,4.38,4.97,0,0.35,1.3,0.24,319.7,0.01,0.6,8,1.39,8.2
10,2022-05-02,11:47:10,17.5,16.9,2,16.8,36.81237667,-121.781635,5.56,5.39,4.6,5.18,0,0.35,15,0.26,319.7,0.01,0.5,8,1.95,10.1
11,2022-05-02,11:47:15,19.4,18.8,2.6,18.6,36.81237167,-121.781625,5.71,5.62,4.81,5.38,0,0.37,21.3,0.25,304.6,0.01,0.6,9,2.46,12.6
12,2022-05-02,11:47:20,21.3,20.7,3.2,20.4,36.81236667,-121.7816183,5.72,5.54,4.97,5.41,0,0.39,15.3,0.29,323.3,0.01,0.4,9,2.41,15
13,2022-05-02,11:47:25,23.5,22.8,4.1,22.4,36.81235,-121.7815983,5.86,5.59,5.05,5.5,0,0.43,25.1,0.21,344.6,0.01,0.5,9,1.65,16.6
14,2022-05-02,11:47:30,25.8,25,5.1,24.5,36.81234,-121.7815817,6,5.79,5.15,5.65,0,0.46,25.7,0.28,322.8,0.01,0.4,10,3.21,19.9
15,2022-05-02,11:47:35,27.9,27.1,5.8,26.5,36.81232833,-121.781555,6.1,5.97,5.27,5.78,0,0.42,19.2,0.25,321.3,0.01,0.5,10,2.55,22.4
16,2022-05-02,11:47:40,30,29.2,6.2,28.5,36.81232,-121.7815367,6.04,5.99,5.42,5.82,0,0.42,12.6,0.24,323.8,0.01,0.4,10,2.17,24.6
17,2022-05-02,11:47:45,32.1,31.2,6.9,30.5,36.812305,-121.7815083,6.05,6,5.52,5.86,0,0.42,18,0.23,295.9,0.01,0.5,10,2.74,27.3
18,2022-05-02,11:47:50,33.8,33,7.3,32.2,36.81229333,-121.781495,6.03,6.01,5.56,5.87,0,0.36,14.4,0.38,293.2,0.01,0.4,11,3.91,31.2
19,2022-05-02,11:47:55,35.5,34.7,7.4,33.9,36.81228333,-121.781475,6.11,6.08,5.56,5.92,0,0.33,4.3,0.22,305.6,0.01,0.5,11,1.86,33.1
20,2022-05-02,11:48:00,37.1,36.3,7.9,35.4,36.81227333,-121.7814633,6.18,6.05,5.56,5.93,0,0.33,18,0.34,294.1,0.01,0.3,11,3.32,36.4
21,2022-05-02,11:48:05,38.8,37.9,8.6,36.9,36.81225833,-121.78145,6.26,6.01,5.61,5.96,0,0.33,24.2,0.31,293.3,0.01,0.4,11,3.05,39.5
22,2022-05-02,11:48:10,40.7,39.7,9.6,38.5,36.81224167,-121.7814433,6.24,5.99,5.61,5.95,0,0.37,30.7,0.29,292.2,0.01,0.4,11,3.19,42.7
23,2022-05-02,11:48:15,42.7,41.7,10.4,40.4,36.81222667,-121.7814317,6.14,5.98,5.61,5.91,0,0.4,23.1,0.29,302.9,0.01,0.3,11,3.39,46
24,2022-05-02,11:48:20,44.8,43.8,11.3,42.4,36.81220333,-121.78141,6.02,5.94,5.62,5.86,0,0.43,25.1,0.29,300.2,0.01,0.4,11,3.68,49.7
25,2022-05-02,11:48:25,47.2,46.1,12.2,44.5,36.81218667,-121.7813983,5.94,5.82,5.56,5.77,0,0.46,23.9,0.36,309.9,0.01,0.3,11,4.58,54.3
26,2022-05-02,11:48:30,49.6,48.5,13.2,46.7,36.81216667,-121.7813767,5.81,5.65,5.49,5.65,0,0.49,24.2,0.29,313.8,0.01,0.5,10,3.75,58.1
27,2022-05-02,11:48:35,52.3,51.2,14.6,49,36.81215333,-121.7813617,5.69,5.59,5.36,5.55,0,0.54,31.3,0.33,312.6,0.01,0.4,10,4.82,62.9
28,2022-05-02,11:48:40,54.9,53.7,15.7,51.4,36.81213333,-121.78134,5.5,5.4,5.27,5.39,0,0.51,24.5,0.32,311.6,0.01,0.4,10,4.24,67.1
29,2022-05-02,11:48:45,57.6,56.4,17.2,53.7,36.81212,-121.781325,5.3,5.21,5.1,5.2,0,0.55,33.1,0.33,309.8,0.01,0.4,9,4.67,71.8
30,2022-05-02,11:48:50,60.4,59.1,18.7,56,36.81209667,-121.7813033,4.99,4.88,4.85,4.91,0,0.56,32.1,0.33,301.9,0.01,0.5,9,4.47,76.3
31,2022-05-02,11:48:55,62.9,61.5,19.8,58.3,36.81208333,-121.7812867,4.74,4.51,4.6,4.62,0,0.49,26,0.32,313.9,0.01,0.5,8,3.49,79.7
32,2022-05-02,11:49:00,65.1,63.7,20.6,60.3,36.81206667,-121.7812583,4.19,3.99,4.32,4.17,0,0.44,22.6,0.35,298.4,0.01,0.5,7,3.21,83
33,2022-05-02,11:49:05,67.7,66.3,21.5,62.7,36.812055,-121.7812417,4.01,3.83,3.89,3.91,0,0.52,19.8,0.36,315.6,0.01,0.5,7,3.31,86.3
34,2022-05-02,11:49:10,70.2,68.8,22.6,64.9,36.81203667,-121.7812167,3.78,3.67,3.68,3.71,0,0.5,27.7,0.14,316.4,0.01,0.6,6,1.19,87.4
35,2022-05-02,11:49:15,71.8,70.3,22.6,66.5,36.81202667,-121.7811917,3.96,3.68,3.53,3.72,0,0.32,359.6,0.22,272.6,0.01,0.8,6,1.28,88.7
36,2022-05-02,11:49:20,74.5,73,23.1,69.2,36.81201833,-121.7811733,3.86,3.58,3.43,3.62,0,0.55,10.2,0.32,335.4,0.01,0.7,6,1.83,90.6
37,2022-05-02,11:49:25,75.8,73.8,22.5,70.3,36.81201,-121.7811533,3.61,3.56,3.43,3.53,0,0.26,332.2,0.28,281.2,0.01,0.8,6,0.98,91.5
38,2022-05-02,11:49:30,77.9,75.7,22.2,72.4,36.812,-121.7811333,3.56,3.23,3.28,3.36,0,0.42,351.8,0.35,293.3,0.01,0.7,5,2.1,93.6
39,2022-05-02,11:49:35,79.5,77.3,22.3,74,36.81198667,-121.7811133,3.42,3.18,3.15,3.25,0,0.32,3.7,0.27,291.3,0.02,1.3,5,1.33,95
40,2022-05-02,11:49:40,81.7,79.6,23.2,76.1,36.81197333,-121.7811033,3.35,3.26,3,3.2,0,0.45,21.9,0.27,325.4,0.01,0.7,5,1.6,96.6
41,2022-05-02,11:49:45,83.7,81.5,23.7,78,36.811955,-121.7810867,3.27,3.18,2.99,3.15,0,0.39,14.6,0.28,293.2,0.02,1.2,5,1.71,98.3
42,2022-05-02,11:49:50,86.4,84.2,24.2,80.7,36.811945,-121.7810733,3.48,3.31,3.02,3.27,0,0.54,10.4,0.42,307.8,0.01,0.7,5,3.32,101.6
43,2022-05-02,11:49:55,88.8,86.3,23.5,83,36.81192833,-121.78105,3.14,3.01,3.13,3.09,0,0.48,345.4,0.37,282.2,0.02,1.1,5,2.46,104.1
44,2022-05-02,11:50:00,91.7,89.2,24.2,85.8,36.81191667,-121.781035,2.98,3.04,2.91,2.98,0,0.58,12.6,0.21,310.2,0.02,0.8,5,1.64,105.7
45,2022-05-02,11:50:05,95.2,92.6,24.5,89.3,36.8119,-121.7810033,3.16,2.86,2.93,2.98,0,0.7,4.7,0.51,326.6,0.02,1.4,4,3.3,109
46,2022-05-02,11:50:10,97.4,94.7,25.3,91.3,36.81189,-121.7809833,3.06,2.53,2.65,2.75,0,0.43,23,0.13,280,0.02,1,4,0.76,109.8
47,2022-05-02,11:50:15,99.6,96.5,27.1,92.6,36.81187667,-121.7809567,2.68,2.7,2.53,2.64,0,0.45,53.2,0.13,109.4,0.02,1.3,4,-0.63,109.1
48,2022-05-02,11:50:20,101.4,98.3,28.1,94.2,36.81187,-121.7809417,2.64,2.22,2.47,2.44,0,0.37,32.2,0.13,285.7,0.03,1.5,3,0.56,109.7
49,2022-05-02,11:50:25,105.3,101.6,30.9,96.7,36.81184667,-121.7809233,2.78,2.38,2.36,2.51,0,0.76,48,0.16,35.9,0.03,2,3,0.31,110
50,2022-05-02,11:50:30,109.4,105.6,33,100.3,36.81183,-121.7809167,2.75,2.41,2.24,2.47,0,0.82,31.3,0.54,343.9,0.03,1.5,3,4.01,114
