%,ADP,Data,File:,ELK2205021438.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,14:38:29,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,14:38:29,1.3,1.3,0,1.3,36.812405,-121.7817533,4.12,3.86,3.71,3.9,0,0.26,0.4,0.17,115.9,0.01,0.6,9,-0.77,-0.8
2,2022-05-02,14:38:34,3.4,3.1,1.8,2.5,36.81239,-121.7817483,4.33,4.41,4.02,4.25,0,0.43,57.3,0.4,121.9,0.02,0.8,10,-3.28,-4
3,2022-05-02,14:38:39,5.4,5,3.4,3.6,36.81236833,-121.7817483,4.63,4.68,4.21,4.51,0,0.4,55.1,0.31,132.6,0.01,0.9,10,-2.68,-6.7
4,2022-05-02,14:38:44,7.3,6.8,5.1,4.5,36.81235333,-121.781745,4.88,4.9,4.44,4.74,0,0.39,60.8,0.36,134.6,0.01,0.3,11,-3.18,-9.9
5,2022-05-02,14:38:49,9,8.5,6.5,5.5,36.812335,-121.7817383,4.95,4.97,4.66,4.86,0,0.34,54.4,0.33,135,0.01,0.5,12,-2.67,-12.6
6,2022-05-02,14:38:54,10.2,9.7,7.4,6.3,36.812325,-121.7817317,5.03,5.11,4.79,4.98,0,0.24,50.8,0.31,142.2,0.01,0.7,12,-1.85,-14.4
7,2022-05-02,14:38:59,11.3,10.8,8.2,6.9,36.81231833,-121.7817267,5.08,5.11,4.85,5.01,0,0.21,50.6,0.34,145.5,0.01,0.5,12,-1.77,-16.2
8,2022-05-02,14:39:04,12.4,11.9,9.2,7.5,36.81230833,-121.7817233,5.17,5.11,4.91,5.06,0,0.22,58.2,0.35,142.6,0.01,0.5,12,-1.96,-18.2
9,2022-05-02,14:39:09,13.4,12.9,10.1,8,36.81229833,-121.7817183,5.3,5.15,4.98,5.14,0,0.2,64.2,0.38,174.2,0.01,0.3,13,-1.85,-20
10,2022-05-02,14:39:14,14.8,13.9,11.5,7.9,36.81229,-121.7817133,5.4,5.29,5.02,5.24,0,0.28,92.1,0.33,163.3,0.01,0.6,13,-2.23,-22.2
11,2022-05-02,14:39:19,16.7,15.6,13.4,7.9,36.81227667,-121.78171,5.47,5.31,5.16,5.31,0,0.39,89.9,0.42,141.1,0.01,0.7,13,-3.39,-25.6
12,2022-05-02,14:39:24,18.7,17.3,15.4,7.9,36.81226333,-121.781705,5.61,5.45,5.4,5.49,0,0.4,89.6,0.36,175.3,0.01,0.4,14,-3.94,-29.6
13,2022-05-02,14:39:29,20.9,19.2,17.5,7.8,36.81224333,-121.7816933,5.63,5.61,5.53,5.59,0,0.43,93.6,0.32,194.2,0.01,0.4,14,-3.79,-33.4
14,2022-05-02,14:39:34,23,21.1,19.7,7.5,36.812225,-121.7816833,5.66,5.72,5.61,5.66,0,0.43,96.6,0.38,192.2,0.01,0.5,14,-4.58,-37.9
15,2022-05-02,14:39:39,25.6,23.5,22.3,7.4,36.81221167,-121.7816717,5.66,5.85,5.61,5.71,0,0.52,93.4,0.32,187.9,0.01,0.4,14,-4.67,-42.6
16,2022-05-02,14:39:44,28.4,26.1,25.1,7.1,36.81218833,-121.781655,5.58,5.9,5.52,5.67,0,0.56,95,0.27,186.7,0.01,0.4,14,-4.24,-46.8
17,2022-05-02,14:39:49,31.4,28.8,28,6.9,36.81217333,-121.78164,5.49,5.93,5.4,5.61,0,0.59,94.3,0.32,192.4,0.01,0.3,14,-5.3,-52.1
18,2022-05-02,14:39:54,33.6,31,30.2,7,36.81215333,-121.7816233,5.3,5.8,5.35,5.48,0,0.44,87.1,0.24,191.1,0.01,0.5,14,-2.87,-55
19,2022-05-02,14:39:59,35.9,33.2,32.5,6.8,36.81213667,-121.781615,5.22,5.63,5.34,5.4,0,0.47,94.9,0.35,160,0.01,0.5,13,-4.01,-59
20,2022-05-02,14:40:04,38.1,35.3,34.7,6.6,36.81212333,-121.7816083,5.17,5.46,5.27,5.3,0,0.43,97.4,0.28,158,0.01,0.4,13,-2.77,-61.8
21,2022-05-02,14:40:09,40.3,37.4,36.9,6.4,36.81210333,-121.7816,5.08,5.37,5.17,5.21,0,0.44,94.6,0.27,169,0.01,0.4,13,-2.99,-64.8
22,2022-05-02,14:40:14,42.8,40,39.4,6.5,36.81208833,-121.7815917,4.99,5.25,5.14,5.13,0,0.51,87.2,0.32,154.8,0.01,0.4,13,-3.96,-68.7
