%,ADP,Data,File:,ELK2205021153.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,11:53:55,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,12:53:55,2,2,1.9,-0.5,36.81114333,-121.7806567,3.95,3.73,3.59,3.76,0,0.4,105.7,0.18,210.9,0.01,0.6,6,-1.32,-1.3
2,2022-05-02,12:54:00,4.3,4.3,3.9,-1.7,36.81116167,-121.7806567,3.98,3.72,3.36,3.69,0,0.46,121.2,0.28,200.9,0.01,0.8,6,-2.34,-3.7
3,2022-05-02,12:54:05,6.5,6.5,5.8,-3,36.81118167,-121.7806483,4.23,3.71,3.42,3.79,0,0.45,123.5,0.14,182.6,0.01,0.8,6,-1.01,-4.7
4,2022-05-02,12:54:10,9.3,9.2,7.8,-4.8,36.81119833,-121.7806383,4.18,3.76,3.46,3.8,0,0.55,132,0.17,171,0.01,0.7,6,-1.15,-5.8
5,2022-05-02,12:54:15,12,11.7,9.3,-7,36.81121333,-121.7806283,3.96,3.86,3.23,3.68,0,0.53,146.8,0.21,190.9,0.02,1.3,5,-1.4,-7.2
6,2022-05-02,12:54:20,14.7,14.1,10.4,-9.5,36.81121833,-121.780615,3.49,3.72,2.89,3.37,0,0.54,156.9,0.38,171.5,0.01,0.7,5,-0.87,-8.1
7,2022-05-02,12:54:25,17,16.4,12.3,-10.8,36.81122167,-121.7805983,3.09,3.39,3.04,3.17,0,0.47,122.4,0.32,116.8,0.01,0.6,5,0.23,-7.9
8,2022-05-02,12:54:30,18.1,17.4,13.2,-11.4,36.81122333,-121.780595,3.57,3.07,2.96,3.2,0,0.22,122.9,0.13,70.4,0.02,1.1,5,0.36,-7.5
9,2022-05-02,12:54:35,19.8,16,12.6,-9.8,36.81122,-121.780595,3.66,3.09,3.21,3.32,0,0.33,339.8,0.36,4,0.02,1.1,5,-0.82,-8.3
10,2022-05-02,12:54:40,20.3,15.8,12.2,-10.1,36.81121833,-121.7806017,3.66,3.14,3.3,3.37,0,0.11,240.7,0.15,86.3,0.02,0.9,5,0.12,-8.2
11,2022-05-02,12:54:45,20.8,15.4,11.7,-10.1,36.81121833,-121.78061,3.58,3.03,3.34,3.32,0,0.09,270.6,0.14,72.3,0.02,1,5,-0.07,-8.3
12,2022-05-02,12:54:50,22.3,14,10.3,-9.6,36.81121667,-121.7806183,3.21,3.05,3.32,3.19,0,0.3,289.1,0.14,359.1,0.01,0.7,5,-0.65,-8.9
13,2022-05-02,12:54:55,23.3,13.2,9.3,-9.3,36.81121167,-121.7806283,3.49,3.28,3.28,3.35,0,0.2,286.2,0.3,82.4,0.02,0.9,5,-0.4,-9.3
14,2022-05-02,12:55:00,24.3,12.9,8.4,-9.8,36.81120833,-121.7806467,2.84,3.35,2.99,3.06,0,0.21,239.6,0.17,83.4,0.02,1.1,4,0.22,-9.1
15,2022-05-02,12:55:05,25.4,12,7.4,-9.5,36.81120667,-121.780665,3.08,3.57,3.24,3.3,0,0.22,287.7,0.25,72.1,0.01,0.8,5,-0.54,-9.6
16,2022-05-02,12:55:10,26,11.9,6.8,-9.7,36.81120833,-121.78068,3.17,3.65,3.52,3.45,0,0.12,245,0.22,98.7,0.02,1,5,0.24,-9.4
17,2022-05-02,12:55:15,26.8,11.2,6.1,-9.5,36.81121,-121.78069,3.42,3.76,3.67,3.62,0,0.16,290.1,0.26,72.6,0.01,0.6,6,-0.45,-9.8
18,2022-05-02,12:55:20,27.6,10.5,5.5,-9,36.81121833,-121.7806967,3.4,3.72,3.78,3.63,0,0.15,308.1,0.09,25.6,0.01,0.6,6,-0.24,-10.1
19,2022-05-02,12:55:25,28.7,9.5,4.7,-8.2,36.811225,-121.7807017,3.75,3.7,3.78,3.74,0,0.22,314.6,0.18,63.6,0.01,0.7,6,-0.69,-10.8
20,2022-05-02,12:55:30,29.3,9,4.8,-7.6,36.81123667,-121.7807,3.76,3.69,3.79,3.75,0,0.13,7.5,0.25,86.7,0.01,0.5,6,-0.59,-11.4
21,2022-05-02,12:55:35,29.8,8.8,5,-7.2,36.81124167,-121.7806983,3.83,3.48,3.72,3.68,0,0.09,29.8,0.18,90.7,0.01,0.7,6,-0.28,-11.6
22,2022-05-02,12:55:40,31,7.6,4.4,-6.2,36.81124667,-121.7806983,3.78,3.66,3.68,3.71,0,0.24,327.6,0.23,62.4,0.01,0.8,6,-1.04,-12.7
23,2022-05-02,12:55:45,31.6,7.9,4.9,-6.2,36.81125,-121.7806967,3.81,3.73,3.67,3.74,0,0.11,96.2,0.26,120.5,0.01,0.6,6,-0.22,-12.9
24,2022-05-02,12:55:50,32.2,8.5,5.5,-6.5,36.81125333,-121.7806933,3.79,3.57,3.62,3.66,0,0.13,117.7,0.29,111.5,0.01,0.8,6,0.08,-12.8
25,2022-05-02,12:55:55,32.5,8.8,5.5,-6.8,36.81125333,-121.780695,3.81,3.63,3.63,3.69,0,0.06,174.5,0.31,110.7,0.01,0.6,6,0.32,-12.5
26,2022-05-02,12:56:00,32.7,9,5.7,-7,36.81125667,-121.7806933,3.84,3.54,3.58,3.65,0,0.04,129.5,0.26,91.3,0.01,0.7,6,0.13,-12.4
27,2022-05-02,12:56:05,33.1,8.7,5.6,-6.7,36.81125667,-121.780695,3.83,3.69,3.61,3.71,0,0.06,330.9,0.21,100.1,0.02,0.8,6,-0.19,-12.6
28,2022-05-02,12:56:10,33.4,8.8,5.9,-6.5,36.81126,-121.78069,3.83,3.66,3.56,3.68,0,0.08,63.1,0.19,78.4,0.01,0.6,6,-0.07,-12.6
29,2022-05-02,12:56:15,34.4,9.1,6.8,-6.1,36.811265,-121.7806833,3.71,3.46,3.45,3.54,0,0.19,61.6,0.34,81.2,0.01,0.7,6,-0.39,-13
30,2022-05-02,12:56:20,35,9.1,7.1,-5.7,36.81127,-121.7806817,3.57,3.32,3.44,3.44,0,0.11,43.2,0.19,74,0.01,0.7,5,-0.19,-13.2
31,2022-05-02,12:56:25,35.8,8.9,7.5,-4.9,36.81127833,-121.7806733,3.43,3.43,3.39,3.42,0,0.17,22.1,0.25,88.6,0.01,0.8,6,-0.67,-13.9
32,2022-05-02,12:56:30,36.5,8.5,7.4,-4.2,36.811285,-121.7806667,3.5,3.43,3.28,3.4,0,0.13,354.3,0.19,108.7,0.02,0.9,5,-0.38,-14.3
33,2022-05-02,12:56:35,38.4,8.7,8.3,-2.5,36.81129167,-121.7806467,3.47,3.31,3.31,3.36,0,0.39,28.1,0.23,42.1,0.01,0.8,5,-0.36,-14.6
34,2022-05-02,12:56:40,39.9,9.3,9.2,-1.4,36.81129833,-121.780635,3.47,3.23,3.33,3.34,0,0.29,39.5,0.25,71.4,0.02,0.8,5,-0.64,-15.3
35,2022-05-02,12:56:45,41.1,9.4,9.4,-0.2,36.81130833,-121.7806233,3.29,3.14,3.33,3.25,0,0.24,7.4,0.16,47.3,0.02,1.2,5,-0.42,-15.7
36,2022-05-02,12:56:50,42.4,8.4,8.4,0.7,36.81131333,-121.7806217,3.39,3.14,3.22,3.25,0,0.26,309.2,0.14,27,0.01,0.7,5,-0.59,-16.3
37,2022-05-02,12:56:55,42.8,8.2,8.1,1,36.81132,-121.78062,3.12,2.92,3.01,3.02,0,0.08,324.7,0.23,95,0.02,1.3,5,-0.21,-16.5
38,2022-05-02,12:57:00,44.2,6.8,6.7,0.9,36.81132667,-121.7806217,3.19,3.12,3.14,3.15,0,0.29,266.4,0.07,147.3,0.02,0.8,5,0.26,-16.2
39,2022-05-02,12:57:05,45.9,7.6,7.1,2.5,36.81133333,-121.7806183,3.63,3.14,3.19,3.32,0,0.34,14.4,0.35,52.7,0.02,0.9,5,-1.23,-17.4
40,2022-05-02,12:57:10,47.1,8.2,7.3,3.7,36.81133667,-121.7806133,3.43,2.9,3.11,3.15,0,0.23,8.1,0.27,43.8,0.02,0.8,5,-0.57,-18
41,2022-05-02,12:57:15,47.9,9,8,4.2,36.81133833,-121.7806067,3.64,2.99,2.91,3.18,0,0.17,50.2,0.47,68.8,0.02,1.1,5,-0.41,-18.4
42,2022-05-02,12:57:20,48.7,8.8,8.1,3.5,36.81134,-121.7805967,3.8,3.25,2.96,3.34,0,0.15,167.3,0.2,128.8,0.02,1.1,5,0.31,-18.1
43,2022-05-02,12:57:25,50.3,10.4,9.8,3.6,36.81134,-121.78058,3.68,3.29,3.28,3.42,0,0.33,84.7,0.25,72.6,0.01,0.7,5,0.3,-17.8
44,2022-05-02,12:57:30,52.8,12.2,11.9,2.4,36.811345,-121.7805383,4.05,3.54,3.49,3.69,0,0.5,119.5,0.23,119.8,0.02,0.9,6,-0.01,-17.8
45,2022-05-02,12:57:35,55.3,13.7,13.7,0.7,36.81135167,-121.7805117,3.96,3.56,3.63,3.72,0,0.49,133.3,0.26,139.2,0.01,0.5,6,-0.24,-18.1
46,2022-05-02,12:57:40,57.9,14.7,14.6,-1.7,36.81137167,-121.7804667,4.01,3.74,3.59,3.78,0,0.52,158.8,0.16,171.3,0.01,0.5,6,-0.34,-18.4
47,2022-05-02,12:57:45,60.1,14.9,14.3,-3.9,36.81138333,-121.7804417,4.06,3.75,3.42,3.74,0,0.45,187.4,0.24,225.4,0.01,0.7,6,-1.24,-19.6
48,2022-05-02,12:57:50,62,14.4,13.3,-5.5,36.81140167,-121.780415,3.97,3.63,3.3,3.63,0,0.38,213.2,0.33,264.4,0.02,1.3,5,-1.75,-21.4
49,2022-05-02,12:57:55,63.4,13.4,12,-6,36.81140833,-121.7804083,3.83,3.4,3.05,3.43,0,0.27,251.4,0.42,290.4,0.01,0.7,5,-1.24,-22.6
50,2022-05-02,12:58:00,64,14,12.4,-6.3,36.811415,-121.7804067,3.73,3.22,3.14,3.36,0,0.11,133.2,0.23,265,0.01,0.7,5,-0.33,-23
51,2022-05-02,12:58:05,64.6,14.6,13,-6.6,36.81141667,-121.7804117,3.77,3.38,3.13,3.43,0,0.13,116.2,0.26,266,0.02,0.9,5,-0.3,-23.3
52,2022-05-02,12:58:10,65.3,15.2,13.7,-6.6,36.81141833,-121.7804183,3.87,3.42,3.15,3.48,0,0.14,89.2,0.26,255.3,0.03,1.5,5,-0.15,-23.4
53,2022-05-02,12:58:15,65.8,15.7,14.2,-6.6,36.81142167,-121.7804233,3.92,3.51,3.14,3.52,0,0.1,90,0.35,262.1,0.02,0.8,5,-0.09,-23.5
