%,ADP,Data,File:,ELK2205021239.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,12:38:58,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,12:38:58,1.7,1.7,-0.7,1.6,36.80990167,-121.7840033,1.04,1.65,1.2,1.3,0,0.34,336.8,0,0,0,100,0,0,0
2,2022-05-02,12:39:03,5.3,3.7,2.8,2.4,36.80989667,-121.784025,1.82,1.3,1.39,1.5,0,0.72,77.2,0.14,307.2,0.12,6.8,1,0.57,0.6
3,2022-05-02,12:39:08,10.3,7.1,7.1,-0.3,36.809895,-121.7840383,1.9,1.41,1.68,1.66,0,1,121.9,0.77,154.5,0.13,6.6,1,-3.49,-2.9
4,2022-05-02,12:39:13,11.1,7.9,7.9,-0.5,36.8099,-121.7840467,1.86,2.1,1.87,1.94,0,0.16,107.2,0.23,228.9,0.06,3.4,2,-0.3,-3.2
5,2022-05-02,12:39:18,12.5,8.4,8.2,-1.8,36.80990333,-121.7840483,2.37,2.22,1.7,2.1,0,0.27,166.4,0.22,192.6,0.04,2.2,2,-0.28,-3.5
6,2022-05-02,12:39:23,14.9,8.6,8.6,0.6,36.80990667,-121.7840467,2.37,1.62,1.74,1.91,0,0.48,10,0.45,358.6,0.06,3.2,2,0.41,-3.1
7,2022-05-02,12:39:28,15.4,9.1,9.1,0.5,36.809915,-121.7840567,2.58,2.44,2.2,2.41,0,0.1,100.1,0.28,272.6,0.01,0.8,3,-0.04,-3.1
8,2022-05-02,12:39:33,17.6,11.2,11.2,0.1,36.80992833,-121.7840733,2.68,2.54,2.51,2.58,0,0.44,98.5,0.1,221.2,0.02,1.4,4,-0.46,-3.6
9,2022-05-02,12:39:38,20.7,14.3,14.3,-0.3,36.80994667,-121.784095,2.66,2.69,2.69,2.68,0,0.63,98.5,0.14,140.1,0.02,1.4,4,-0.77,-4.4
10,2022-05-02,12:39:43,22.9,16.3,16.3,-1.4,36.80996667,-121.78412,3.22,2.92,2.84,2.99,0,0.45,118.7,0.38,213.4,0.02,1,4,-2.5,-6.9
11,2022-05-02,12:39:48,24.8,17.9,17.7,-2.6,36.80998333,-121.7841367,3.54,3.23,3.12,3.3,0,0.37,131.5,0.31,195.8,0.02,1,5,-1.71,-8.6
12,2022-05-02,12:39:53,25.9,18.9,18.8,-2.3,36.80999667,-121.7841483,3.73,3.28,3.35,3.45,0,0.22,75,0.1,247.5,0.02,1.1,5,-0.05,-8.6
13,2022-05-02,12:39:58,27.3,20.1,19.9,-3.3,36.81000833,-121.7841517,3.81,3.56,3.69,3.69,0,0.29,130.3,0.15,188.3,0.02,0.8,6,-0.7,-9.3
14,2022-05-02,12:40:03,29.2,22,21.7,-3.6,36.81002167,-121.7841733,4.09,3.73,3.95,3.92,0,0.38,98.8,0.15,228.4,0.01,0.8,6,-0.85,-10.2
15,2022-05-02,12:40:08,31.3,24.1,23.8,-4,36.81003167,-121.7841917,4.28,4.01,4.27,4.19,0,0.42,102.1,0.14,210.3,0.01,0.7,7,-1.16,-11.3
16,2022-05-02,12:40:13,33.1,25.8,25.4,-4.6,36.81004333,-121.7842083,4.52,4.15,4.49,4.39,0,0.35,111.6,0.19,208.5,0.01,0.6,7,-1.46,-12.8
17,2022-05-02,12:40:18,34.4,27.1,26.5,-5.2,36.81005333,-121.7842217,4.85,4.31,4.73,4.63,0,0.26,116.9,0.09,193.8,0.01,0.5,8,-0.5,-13.3
18,2022-05-02,12:40:23,35.6,28.2,27.6,-6,36.81006333,-121.7842267,5.1,4.48,4.97,4.85,0,0.25,126.9,0.12,183.9,0.01,0.7,8,-0.61,-13.9
19,2022-05-02,12:40:28,37.4,30,29.2,-6.6,36.810075,-121.78424,5.34,4.65,5.17,5.05,0,0.35,111.4,0.18,208.3,0.01,0.5,8,-1.6,-15.5
20,2022-05-02,12:40:33,38.8,31.2,30.3,-7.5,36.81008667,-121.7842483,5.74,5.01,5.52,5.42,0,0.28,130.6,0.16,194.7,0.01,0.4,9,-1.12,-16.6
21,2022-05-02,12:40:38,40.1,32.3,31.1,-8.6,36.81009833,-121.784255,5.99,5.18,5.89,5.69,0,0.26,141.3,0.18,195.6,0.01,0.4,10,-1.12,-17.7
22,2022-05-02,12:40:43,41.5,33.3,31.8,-9.8,36.810105,-121.7842533,6.16,5.38,6.16,5.9,0,0.28,149.4,0.16,230.3,0.01,0.5,10,-1.31,-19
23,2022-05-02,12:40:48,42.8,34,32.2,-11,36.81011333,-121.7842467,6.35,5.58,6.29,6.07,0,0.25,161.4,0.21,214.4,0.01,0.5,11,-1.27,-20.3
24,2022-05-02,12:40:53,44,34.7,32.5,-12.2,36.81012167,-121.7842367,6.45,5.84,6.52,6.27,0,0.26,168.5,0.23,205.2,0.01,0.4,11,-1.09,-21.4
25,2022-05-02,12:40:58,45.2,35,32.3,-13.3,36.81013667,-121.7842317,6.6,6,6.64,6.41,0,0.22,187.7,0.25,216.5,0.01,0.4,11,-0.85,-22.3
26,2022-05-02,12:41:03,46.5,34.9,31.8,-14.6,36.81014667,-121.78422,6.89,6.18,6.72,6.6,0,0.27,204.2,0.27,217.3,0.01,0.4,12,-0.54,-22.8
